Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
Algeria,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13
Argentina,,,,,,,,,,,,,6,,4,,,0,8,,0,,11,,,,1,,,8,1,27,3,1,,,,4,1,,6,0,,13,5,5,,,,,2,6,2,,,,2,,,,,1,,,,,,,,,,118
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,18
Australia,,,36,,,125,,,,,,2,4,,,,,,,26,17,36,6,72,92,131,113,62,21,22,15,15,24,31,62,10,57,89,18,18,168,90,,30,36,36,16,20,4,,,43,47,44,2,49,22,48,48,80,115,143,45,54,97,87,134,98,38,103,396,3196
Austria,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,,,37,126,54,70,60,56,58,248,40,30,12,12,30,20,20,10,17,,18,1,29,23,24,17,83,3,3,4,63,101,16,46,54,56,25,30,16,10,17,22,6,3,9,1581
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,129,341,63,452,293,49,63,57,19,53,43,6,224,41,159,96,97,269,101,142,152,50,79,159,23,3174
Belgium,,,,,9,9,29,,,,3,0,2,0,0,,12,,,5,,0,,,,,,,2,3,1,19,41,89,115,3,19,,18,36,1,1,,,33,158,57,93,46,45,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,17,21,53,53,2079
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,14,,3,,,,,,,,21
